path,h0,hk,hmax,redundancy,lzc,lzc_normalized,ip
examples\MIDIS\ROCK\10cc_-_Dreadlock_Holiday.mid,4.501638712322798,2.1818573453866095,5.0,2.8181426546133905,8,0.04185205443239093,0.5636285309226781
examples\MIDIS\ROCK\10cc_-_Im_Not_In_Love.mid,4.425156389495469,3.3351113102436862,5.857980995127572,2.5228696848838856,4,0.03125011876911724,0.43067222085259493
examples\MIDIS\ROCK\10cc_-_The_Things_We_Do_for_Love.mid,4.772120862351405,1.6449336690934222,5.20945336562895,3.5645196965355277,9,0.06549563040441568,0.684240638385132
examples\MIDIS\ROCK\1910_Fruitgum_Company_-_Simon_Says.mid,2.7868235892237894,1.5891739565166665,4.0,2.4108260434833335,7,0.05146471819479036,0.6027065108708334
examples\MIDIS\ROCK\38_Special_-_Caught_Up_In_You.mid,3.470700938585147,1.2743198887479175,4.087462841250339,2.813142952502422,7,0.04912375130435071,0.6882369483857844
examples\MIDIS\ROCK\38_Special_-_Fantasy_Girl.mid,1.644417441345524,1.508259439246993,3.0,1.491740560753007,2,0.010545570875953099,0.4972468535843356
examples\MIDIS\ROCK\911_-_The_Day_We_Find_Love.mid,1.9594533810383263,1.2225259990375352,4.584962500721156,3.3624365016836206,3,0.024208289012232143,0.7333618325460137
examples\MIDIS\ROCK\ABC_-_Poison_Arrow.mid,2.3602061525914984,2.1143386609885986,3.9068905956085187,1.7925519346199201,7,0.04436855612992888,0.4588180525543283
examples\MIDIS\ROCK\Aha_-_Hunting_High_And_Low.mid,3.338934347515889,2.3294584169679293,4.392317422778761,2.0628590058108314,9,0.05604312177635224,0.4696516228797012
examples\MIDIS\ROCK\Al_Green_-_Lets_Stay_Together.mid,4.532353203602881,3.530005564108065,5.977279923499917,2.4472743593918516,6,0.037064911718160704,0.40942943792381115
examples\MIDIS\ROCK\Al_Stewart_-_Year_of_the_Cat.mid,3.5454322753969634,2.6569740243347773,4.321928094887363,1.6649540705525854,8,0.03154849878863246,0.3852340978375248
examples\MIDIS\ROCK\Billy_Joel_-_It_s_Still_Rock_and_Roll_to_Me.mid,3.1632478923237892,1.3163297840833978,4.087462841250339,2.7711330571669412,6,0.0280720467262397,0.6779592047176293
examples\MIDIS\ROCK\Dan_Hill_-_Sometimes_When_We_Touch.mid,1.6748372533863427,1.4397605672949372,3.321928094887362,1.882167527592425,5,0.03240562669326097,0.5665888826700339
examples\MIDIS\ROCK\Don_Henley_-_Dirty_Laundry.mid,2.926243308420008,0.5940834047706349,3.807354922057604,3.2132715172869695,8,0.04824712018775716,0.8439642699636799
examples\MIDIS\ROCK\Donovan_-_Mellow_Yellow.mid,2.3257513798129077,1.2893384459492563,2.807354922057604,1.518016476108348,7,0.04145540739464472,0.5407283789381867
examples\MIDIS\ROCK\Dr._Hook_-_A_Little_Bit_More.mid,3.143017665721463,1.6787462480052964,3.584962500721156,1.9062162527158597,4,0.033998736467640206,0.5317255765806205
examples\MIDIS\ROCK\Eddie_Floyd_-_Knock_on_Wood.mid,2.0024510219521474,1.519853615747368,3.169925001442312,1.650071385694944,7,0.0510326310890772,0.5205395663759123
examples\MIDIS\ROCK\Equals_-_Baby_Come_Back.mid,2.3412561143611623,1.8123107511602763,3.584962500721156,1.7726517495608798,7,0.0428593153644625,0.4944687006361408
examples\MIDIS\ROCK\Eric_Carmen_-_Hungry_Eyes.mid,1.7167972793355426,1.363355641464778,3.0,1.636644358535222,9,0.057935223827276235,0.5455481195117406
examples\MIDIS\ROCK\Extreme_-_More_Than_Words.mid,3.504531667118659,2.098853891848532,4.523561956057013,2.424708064208481,7,0.038598204882107544,0.5360174322276754
examples\MIDIS\ROCK\Fine_Young_Cannibals_-_She_Drives_Me_Crazy.mid,2.5061227859411157,1.9751602070818148,3.700439718141092,1.7252795110592773,6,0.036754635387015885,0.46623635093992766
examples\MIDIS\ROCK\Firefall_-_You_are_the_Woman.mid,1.7396581855720594,1.4132313571726793,2.321928094887362,0.9086967377146828,6,0.0505297294299773,0.3913543833314804
examples\MIDIS\ROCK\Michael_Jackson_-_Rock_with_You.mid,4.924429820767321,3.2570848898272033,6.129283016944966,2.872198127117763,7,0.03743886825474139,0.46860262761195837
examples\MIDIS\ROCK\Michael_Jackson_-_Rockin_Robin.mid,4.651185607282889,3.2749611769041325,5.357552004618084,2.0825908277139513,10,0.06177485286360118,0.38872059961691585
examples\MIDIS\ROCK\Paul_Simon_-_Loves_Me_Like_A_Rock.mid,3.556161595655487,1.5648003706107128,4.321928094887363,2.75712772427665,5,0.03235471540986515,0.6379392862963644
examples\MIDIS\ROCK\Robbie_Williams_-_Rock_DJ.mid,2.846335498380245,1.6326126538778152,3.321928094887362,1.689315441009547,4,0.026061257203415397,0.5085346198822005
examples\MIDIS\ROCK\Simon_and_Garfunkel_-_I_Am_A_Rock.mid,2.5951421887375044,1.2260492009995094,3.169925001442312,1.9438758004428027,7,0.10458799711359643,0.6132245398734486
examples\MIDIS\ROCK\The_Drifters_-_Up_on_the_Roof.mid,1.904554036734301,0.7490681409991939,2.0,1.250931859000806,6,0.04790148130922278,0.625465929500403
examples\MIDIS\ROCK\The_Eurythmics_-_Love_is_a_Stranger.mid,0.050981705694694096,0.05096448314664538,1.0,0.9490355168533546,5,0.03748736375664485,0.9490355168533546
examples\MIDIS\ROCK\The_Flamingos_-_I_Only_Have_Eyes_For_You.mid,4.7719378148602445,3.5278636594049146,6.149747119504682,2.6218834600997676,3,0.028535210566359246,0.4263400444197356
