path,h0,hk,hmax,redundancy,lzc,lzc_normalized,ip
examples\MIDIS\POP\5ive_-_Dont_Wanna_Let_You_Go.mid,2.3992998795836926,1.2310137888083008,3.169925001442312,1.9389112126340113,7,0.05465227819784291,0.6116583867920563
examples\MIDIS\POP\5ive_-_If_Ya_Gettin_Down.mid,2.1577645744105522,0.947212453665532,2.807354922057604,1.8601424683920722,7,0.05307382641679686,0.6625961162861131
examples\MIDIS\POP\A_Dios_le_pido0.mid,2.598333250278621,1.5854586962972095,3.321928094887362,1.7364693985901527,8,0.06408158356781778,0.5227293755282297
examples\MIDIS\POP\ABBA_-_Alaska.mid,1.7309789189879545,1.4574571313399307,2.807354922057604,1.3498977907176735,3,0.01873741670314969,0.4808432949148761
examples\MIDIS\POP\ABBA_-_Fernando.mid,4.52432795386488,3.2766901607429206,5.727920454563199,2.451230293820278,4,0.023938449031892007,0.42794419253282123
examples\MIDIS\POP\ABBA_-_Take_A_Chance_On_Me.mid,3.5931531486033594,1.0283894780302882,3.807354922057604,2.7789654440273157,7,0.0467690781054055,0.7298939817582026
examples\MIDIS\POP\Ace_of_Base_-_Always_Have_Always_Will.mid,2.5944458226539253,1.737315640542941,4.0,2.262684359457059,5,0.02692401359176739,0.5656710898642647
examples\MIDIS\POP\Ace_of_Base_-_Don_t_Turn_Around.mid,2.846083132136307,1.8334531655935415,3.700439718141092,1.8669865525475506,7,0.050518243462493735,0.5045310003010743
examples\MIDIS\POP\All_Saints_-_Bootie_Call.mid,2.3973690535434042,1.4252891890362487,3.321928094887362,1.8966389058511135,8,0.05924725124039032,0.5709452016044987
examples\MIDIS\POP\Allure_-_All_Cried_Out.mid,3.9411067221956992,2.3873854093620537,4.857980995127572,2.470595585765518,7,0.05526132929293185,0.5085642756205635
examples\MIDIS\POP\Anne_Murray_-_You_Needed_Me.mid,2.028697668205278,1.3870771739874805,3.169925001442312,1.7828478274548316,7,0.07773097328313609,0.5624258702157426
examples\MIDIS\POP\Aqua_-_Barbie_Girl.mid,3.786500370202336,1.8443907744330872,4.700439718141092,2.8560489437080046,9,0.060926268237906166,0.6076131415291295
examples\MIDIS\POP\B_Witched_-_Cest_La_Vie.mid,3.6855731433156835,1.7209613505820034,4.169925001442312,2.4489636508603088,8,0.06508098379883699,0.5872920136485069
examples\MIDIS\POP\Backstreet_Boys_-_As_Long_As_You_Love_Me.mid,4.507496097577999,3.085893035614892,5.727920454563199,2.642027418948307,3,0.022506343741053293,0.4612542090809785
examples\MIDIS\POP\Backstreet_Boys_-_I_ll_Never_Break_Your_Heart.mid,1.8436645675046022,1.0544146556582072,3.321928094887362,2.267513439229155,5,0.019872711040320776,0.6825895607791717
examples\MIDIS\POP\Beautiful.mid,3.6698108005569527,2.016620527522313,5.129283016944966,3.1126624894226533,4,0.03520735530277051,0.6068416344233185
examples\MIDIS\POP\Bee_Gees_-_Medley.mid,3.8411126340591877,0.9774077631049665,4.857980995127572,3.8805732320226056,9,0.04135799767551404,0.7988037079426039
examples\MIDIS\POP\Belinda_Carlisle_-_Heaven_Is_a_Place_on_Earth.mid,4.828090926043761,3.8403112956441965,5.754887502163468,1.9145762065192717,3,0.01595097725051142,0.3326869909793222
examples\MIDIS\POP\Billy_Joel_-_Big_Shot.mid,3.3771074693591205,1.3521606895715474,4.247927513443585,2.8957668238720378,11,0.05499476249998137,0.6816893213708777
examples\MIDIS\POP\Billy_Joel_-_She_s_Always_a_Woman_to_Me.mid,3.6948139990639373,2.5507835066793767,4.459431618637297,1.9086481119579206,6,0.05443075974101714,0.42800255171109924
examples\MIDIS\POP\BJ_Thomas_-_Hooked_on_a_Feeling.mid,1.606653544590671,1.1377969608435496,2.584962500721156,1.4471655398776064,5,0.039240782555816915,0.559840051634743
examples\MIDIS\POP\Blood_Sweat_and_Tears_-_And_When_I_Die.mid,3.0007499036825025,2.5789603800051437,3.807354922057604,1.2283945420524605,8,0.03284078865385487,0.322637255312305
examples\MIDIS\POP\Blur_-_Girls_Boys.mid,1.929815061778525,0.4197233828290827,2.0,1.5802766171709173,2,0.009692452091381086,0.7901383085854586
examples\MIDIS\POP\Bonnie_Tyler_-_Holding_Out_for_a_Hero.mid,1.8544138420202025,1.5492893660941258,2.321928094887362,0.7726387287932364,8,0.032087494111070494,0.3327573883508729
examples\MIDIS\POP\Boyzone_-_Words.mid,4.851868653374282,3.538837685664361,6.0,2.461162314335639,4,0.03155720091665769,0.4101937190559398
examples\MIDIS\POP\Brandy_-_Best_Friend.mid,2.1020534172453638,1.7809459728500523,3.0,1.2190540271499477,9,0.05147515881439694,0.40635134238331594
examples\MIDIS\POP\Corazon_Partio.mid,2.9459193118983036,2.371422287538512,4.523561956057013,2.152139668518501,4,0.024217264349597097,0.4757621735758042
examples\MIDIS\POP\The_Association_-_Along_Comes_Mary.mid,2.3590015688393544,1.4644233421709354,2.807354922057604,1.3429315798866688,11,0.07305810718134749,0.4783618805499624
examples\MIDIS\POP\The_Bangles_-_Walk_Like_An_Egyptian.mid,3.9953803343617493,1.8146595108942518,5.554588851677638,3.7399293407833856,6,0.02542927996155973,0.6733044408235229
examples\MIDIS\POP\The_Corrs_-_Closer.mid,3.1780652486101,1.0161219106917414,3.9068905956085187,2.890768684916777,8,0.06403887396007554,0.7399154427733661
